Accession Code (sample#),LakeName,DEC_Code,Date,Z max (m),Sample Type,Sample Z (m),Sample Layer,Secchi (m),Conductivity (umhos),pH_air_eq,ANC(ueq/L),NH4-N (ug N/L),NH4+ (mg/L),NH4+ (ueq/L),DIC (mg/L),DOC (mg/L),F (mg/L),Cl (mg/L),Cl (ueq/L),NO3-N (mg N/L),NO3- (mg/L),NO3- (ueq/L),SO4-S (mg S/L),SO4-- (mg/L),SO4-- (ueq/L),Total P (ug/L),MRP    (ug P/L),TFP (ug/L),TN (mg/L),Chla (ug/L),Si (mg/l),Dissolved Silica SiO2 (mg/l),Na (mg/L),Na (ueq/L),K (mg/L),K (ueq/L),Fe (mg/L),Mg (mg/L),Mg (ueq/L),Ca (mg/L),Ca (ueq/L),Total Al (ug/L),Total mono Al (ug/L),Nonlabile mono Al (ug/L),Labile mono Ali (ug/L),Hydrologic Type,Watershed,Watershed area (ha),lake volume (m3),WA/SA ratio,surface area (ha),surface area (m2)
11246027,South,401004,10-Jul-12,19.4,G,18,Yh,4.2,13.9,6.21,20.94,65.2,0.084,4.612,1.99,2.017,0.01,0.315,8.82,0.199,0.881,14.102,0.778,2.334,46.68,5.539,2.73,2.424,0.468,1.87,1.62,3.47,0.514,22.102,0.177,4.425,0.162,0.245,20.09,1.606,78.694,196.97,34.377,8.662,25.72,TDL,black,na,na,na,202,2020000
11246066,South,401004,6-Aug-12,21.6,G,18,Yh,4,14.8,6.46,29.54,135,0.174,9.549,3.275,1.929,0.0491,0.321,8.988,0.15,0.664,10.63,0.768,2.304,46.08,10.1,4,0.985,0.582,4.9,1.74,3.72,0.505,21.715,0.228,5.7,0.335,0.253,20.746,1.619,79.331,233.75,21.29,2.482,18.81,TDL,black,na,na,na,202,2020000
9446803,Squash,40754,20-Jun-94,4.8,I,3,Ye,2.7,24,4.56,-29.5,25,0.03,1.77,1.02,6.08,,0.47,13.16,0.02,0.08,1.28,1.15,3.45,69,3.5,2.8,0.5,0.35,5.21,0.39,0.83,0.29,12.47,0.21,5.25,0.35,0.13,10.74,0.81,39.76,350,170,0,170,TDH,black,41.3,45178,12.5,3.3,33000
9446876,Squash,40754,25-Jul-94,5.3,I,2,Ye,1.7,25,4.38,-30.7,25,0.03,1.77,0.52,6.44,,0.49,13.72,0.02,0.08,1.35,1.16,3.48,69.6,16.8,3.2,8.6,0.44,3.91,0.54,1.16,0.32,13.76,0.24,6,0.53,0.14,11.32,0.43,21.12,365,230,100,130,TDH,black,41.3,45178,12.5,3.3,33000
9446937,Squash,40754,23-Aug-94,5.1,I,2,Ye,2.8,,4.48,-26.6,25,0.03,1.77,0.49,7.9,,0.32,8.96,0.02,0.09,1.49,1.19,3.57,71.4,12.3,3,1.9,1.79,1.54,0.59,1.26,0.3,12.9,0.1,2.5,0.2,0.13,10.25,0.69,33.83,324,170,61,109,TDH,black,41.3,45178,12.5,3.3,33000
9546816,Squash,40754,13-Jun-95,4.6,I,2,Ye,3.05,23,4.63,-43.4,10,0.01,0.71,,5.01,,0.46,12.85,0.01,0.06,0.99,1.25,3.76,75.12,10.1,6.2,3.5,0.54,0.46,0.05,0.11,0.43,18.49,0.24,6,0.21,0.16,13.12,0.7,34.41,336,110,41,69,TDH,black,41.3,45178,12.5,3.3,33000
9546920,Squash,40754,15-Aug-95,4.7,I,2,Ye,2.75,24.6,4.4,-60.6,54,0.07,3.82,1.32,6.65,,0.15,4.2,0.01,0.02,0.35,1.37,4.11,82.17,6.8,0.5,4.7,1.92,1.32,0.05,0.11,0.4,17.2,0.12,3,0.17,0.15,12.3,0.28,13.9,246,115,82,33,TDH,black,41.3,45178,12.5,3.3,33000
9546955,Squash,40754,6-Sep-95,5,I,3,Ye,3.5,20,4.47,-35.4,11,0.01,0.78,1.24,5.15,,0.59,16.46,0.01,0.02,0.35,1.12,3.37,67.32,2.99,0.5,3.51,0.34,1.69,0.05,0.11,0.41,17.63,0.1,2.5,0.16,0.14,11.48,0.52,25.28,241,110,40,70,TDH,black,41.3,45178,12.5,3.3,33000
9646705,Squash,40754,18-Jun-96,5.8,I,1,Ye,1.9,20.9,4.36,-17.9,5,0.01,0.35,0.58,10.08,,0.35,9.8,0.02,0.08,1.2,1.32,3.97,79.38,5.42,1.78,2.98,0.41,1.79,0.3,0.64,0.37,15.91,0.25,6.25,0.26,0.13,10.66,0.62,30.16,456,360,78,282,TDH,black,41.3,45178,12.5,3.3,33000
9646789,Squash,40754,18-Jul-96,5,I,1,Ye,2.3,20.4,4.46,-34.19,18,0.02,1.27,1.14,7.86,,,,0.01,0.05,0.85,1.07,3.21,64.2,7.43,2.14,3.2,0.57,1.16,0.2,0.43,0.2,8.6,0.18,4.5,0.28,0.12,9.84,0.95,46.74,440,340,120,220,TDH,black,41.3,45178,12.5,3.3,33000
9646860,Squash,40754,15-Aug-96,5,I,1,Ye,,16.4,4.64,-29.03,5,0.01,0.35,1.02,3.02,,0.25,7.03,0.02,0.08,1.2,1.12,3.37,67.38,12.64,1.05,7.61,1.07,4.87,0.1,0.21,0.33,14.19,0.15,3.75,0.3,0.12,9.84,0.82,40.25,357,200,110,90,TDH,black,41.3,45178,12.5,3.3,33000
9746822,Squash,40754,8-Jul-97,4.9,I,1.5,Ye,1.9,20.6,5,-10.89,70,0.09,4.95,0.97,7.5,0.03,0.57,15.96,0.04,0.18,2.83,1.18,3.54,70.8,11,3.88,4.9,0.55,1.6,0.22,0.47,0.35,15.05,0.28,7,0.33,0.18,14.76,1.36,66.88,336,260,100,160,TDH,black,41.3,45178,12.5,3.3,33000
9746895,Squash,40754,12-Aug-97,4.5,I,1,Ye,1.5,19.4,4.67,-21,20,0.03,1.41,0.92,10.8,0.05,0.1,2.8,0.01,0.04,0.71,1,3,60,14.7,1.8,5,0.62,,0.18,0.38,0.33,14.19,0.21,5.25,0.3,0.16,13.2,1.18,58.01,270,270,110,160,TDH,black,41.3,45178,12.5,3.3,33000
9846605,Squash,40754,8-Jul-98,4.8,I,1,Ye,1.5,21,4.59,-43.06,11.3,0.01,0.8,1.47,12.88,0.03,0.65,18.2,0.06,0.27,4.25,1,3,60,11.6,0.5,4.62,0.58,0.81,0.91,1.95,0.35,15.05,0.19,4.73,0.5,0.16,12.96,1.21,59.09,,352.26,209.31,142.95,TDH,black,41.3,45178,12.5,3.3,33000
9846677,Squash,40754,11-Aug-98,4.8,I,1,Ye,1.75,19.8,4.65,-34.35,15,0.02,1.06,1.34,9.31,0.01,,,0.03,0.13,2.13,0.99,2.97,59.4,11.03,1.67,5.9,0.56,2.62,0.28,0.59,0.32,13.55,0.22,5.5,0.37,0.13,10.74,1.1,53.73,,188.77,79.79,108.98,TDH,black,41.3,45178,12.5,3.3,33000
9946105,Squash,40754,8-Jul-99,4.5,I,1,Ye,1.5,18.8,4.69,-20.63,39.91,0.05,2.82,1.41,5.79,0.01,0.21,5.88,0.03,0.13,2.13,0.98,2.94,58.8,7.98,0.5,7.98,0.38,2.14,0.31,0.67,0.35,14.92,0.27,6.7,0.62,0.12,9.92,0.58,28.52,318.67,163.89,61.63,102.26,TDH,black,41.3,45178,12.5,3.3,33000
9946177,Squash,40754,17-Aug-99,4.7,I,1,Ye,2.1,16.8,4.68,-32.02,8.37,0.01,0.59,,3.23,0.05,0.16,4.48,0.01,0.04,0.71,0.99,2.97,59.4,6.78,0.5,9.67,0,1.72,,,0.41,17.5,0.15,3.7,0.42,0.13,10.5,0.45,22.05,201.51,133.51,42.74,90.77,TDH,black,41.3,45178,12.5,3.3,33000
10046505,Squash,40754,12-Jul-00,5.1,I,1,Ye,2.75,22.4,4.58,-24.95,17.06,0.02,1.21,1.43,6.59,0.02,0.35,9.77,0.02,0.08,1.35,1.13,3.38,67.62,12.54,1.16,5.39,0.48,1.84,0.23,0.49,0.33,14.28,0.17,4.25,0.35,0.13,10.99,0.71,34.55,468.43,245.63,88.16,157.46,TDH,black,41.3,45178,12.5,3.3,33000
10046578,Squash,40754,15-Aug-00,4.5,I,1,Ye,1.9,20.7,4.52,-31.48,2.5,0,0.18,1.5,7.88,0.03,0.28,7.84,0.01,0.02,0.35,1.01,3.02,60.3,6.53,1.46,5.8,0.43,3.31,0.39,0.84,0.26,11.27,0.12,3.08,0.45,0.12,9.51,0.83,40.82,455.75,263.2,113.91,149.29,TDH,black,41.3,45178,12.5,3.3,33000
10146006,Squash,40754,10-Jul-01,4.8,I,2,Ye,1.9,19.5,4.5,-23.89,8.74,0.01,0.62,0.93,8.23,0.02,0.2,5.71,0.02,0.07,1.06,0.96,2.89,57.78,9.81,1.69,3.5,0.49,1.72,0.14,0.3,0.33,13.98,0.16,3.95,0.26,0.12,10,0.62,30.58,447.11,241.81,16.57,225.24,TDH,black,41.3,45178,12.5,3.3,33000
10146086,Squash,40754,6-Sep-01,4.7,I,3,Ye,2.5,14.8,4.61,-23.06,11.09,0.01,0.78,1.31,4.93,0.02,0.15,4.12,0.05,0.2,3.26,0.94,2.82,56.46,7.08,2.3,3.16,0.39,2.38,0.33,0.71,0.3,12.77,0.07,1.8,0.27,0.12,10.09,0.64,31.26,328.66,192.67,12.18,180.49,TDH,black,41.3,45178,12.5,3.3,33000
10246007,Squash,40754,12-Sep-02,5,I,3,Ye,2.5,18,4.58,-28.85,5,0.01,0.35,0.5,3.87,0.01,0.35,9.8,0.01,0.02,0.35,0.72,2.16,43.2,5.47,1.6,2.91,0.37,2.49,0.2,0.43,0.37,16.04,0.1,2.38,0.13,0.13,10.33,0.71,34.74,260.28,147.15,31.05,116.1,TDH,black,41.3,45178,12.5,3.3,33000
10246093,Squash,40754,18-Sep-02,4.5,I,2,Ye,2.5,17.2,4.65,-18,5,0.01,0.35,0.5,4.16,0.01,0.1,2.83,0.02,0.09,1.42,0.65,1.95,39,7.76,1.83,2.91,0.41,1.99,0.22,0.47,0.36,15.61,0.06,1.43,0.13,0.13,10.33,0.62,30.48,242.69,134.56,27.92,106.64,TDH,black,41.3,45178,12.5,3.3,33000
10346006,Squash,40754,10-Jul-03,5,I,1,Ye,2,20,4.64,-19.5,58.14,0.07,4.11,1.17,5.09,0.03,0.26,7.39,0.01,0.06,0.89,1.23,3.68,73.62,7.68,1.34,2.24,0.49,1.68,0.11,0.24,0.43,18.58,0.19,4.85,0.31,0.14,11.64,0.81,39.89,443.07,255.38,69.52,185.85,TDH,black,41.3,45178,12.5,3.3,33000
10346093,Squash,40754,7-Aug-03,4.2,I,1,Ye,2.2,19.5,4.71,-16.04,135.69,0.17,9.6,0.9,4.47,0.04,0.23,6.3,0.01,0.06,0.89,1.27,3.8,76.02,13.95,1.37,4.29,0.69,4.33,1,2.14,0.37,15.82,0.41,10.33,0.28,0.14,11.07,0.8,39.2,372.64,198,50.01,148,TDH,black,41.3,45178,12.5,3.3,33000
10446006,Squash,40754,21-Jul-04,4.7,I,1,Ye,1.7,15.1,4.62,-22.57,5,0.01,0.35,1.3,5.86,0.01,0.13,3.5,0.01,0.06,0.89,0.79,2.37,47.46,5.54,2.09,3.19,0.48,3.65,0.17,0.36,0.36,15.31,0.15,3.73,0.43,0.14,11.81,0.61,29.69,388.91,200.73,89.56,111.17,TDH,black,41.3,45178,12.5,3.3,33000
10446092,Squash,40754,4-Aug-04,4.7,I,1,Ye,1.9,15.4,4.55,-22.1,5,0.01,0.35,1.31,6.17,0.01,0.08,2.16,0.01,0.06,0.89,0.77,2.32,46.32,10.66,3.6,2.42,0.52,2.68,0.43,0.92,0.33,14.23,0.12,2.93,0.35,0.16,13.2,0.55,27.1,399.27,201.19,90.58,110.6,TDH,black,41.3,45178,12.5,3.3,33000
10546006,Squash,40754,13-Jul-05,5.3,I,1,Ye,1.5,17.7,4.66,-16.13,33,0.04,2.33,0.5,5.43,0.03,0.44,12.43,0.01,0.06,0.89,0.92,2.75,55.08,13.33,2.58,3.69,0.4,4.86,0.22,0.47,0.44,18.83,0.22,5.45,0.55,0.14,11.32,0.6,29.35,421.38,170.91,66.24,104.67,TDH,black,41.3,45178,12.5,3.3,33000
10546092,Squash,40754,10-Aug-05,4.7,I,1,Ye,1.6,18.5,4.68,-22.29,5,0.01,0.35,1.13,6.88,0.03,0.25,7.08,0.01,0.06,0.89,0.88,2.65,53.04,16.68,4.06,5.39,0.54,3.93,0.42,0.9,0.42,17.97,0.13,3.3,0.37,0.14,11.07,0.62,30.38,370.35,189.8,82.54,107.26,TDH,black,41.3,45178,12.5,3.3,33000
10646007,Squash,40754,14-Jul-06,5,I,1,Ye,1.7,21.1,4.56,-27.16,5,0.01,0.35,1.34,7.87,0.01,0.27,7.5,0.01,0.06,0.89,0.86,2.57,51.3,10.17,2.05,2.13,0.49,3.73,0.47,1.01,0.35,15.18,0.3,7.58,0.47,0.12,9.59,0.56,27.24,613.95,260.63,132.33,128.31,TDH,black,41.3,45178,12.5,3.3,33000
10646092,Squash,40754,11-Aug-06,4.8,I,1.5,Ye,1.6,19.3,4.6,-21.25,5,0.01,0.35,1.19,7.69,0.01,0.28,7.9,0.01,0.06,0.89,0.81,2.44,48.72,9.43,2.01,4.61,0.48,3.23,0.26,0.56,0.35,14.96,0.14,3.48,0.45,0.11,9.27,0.62,30.58,518.94,231.79,99.62,132.16,TDH,black,41.3,45178,12.5,3.3,33000
9446811,Squash,40754,20-Jun-94,4.8,G,4,Yh,2.7,22,6.2,80.7,390,0.5,27.58,0.65,12.3,,0.62,17.36,0.02,0.08,1.28,0.92,2.76,55.2,24.8,9.6,7.4,1.12,,2.07,4.43,0.38,16.34,0.43,10.75,2.6,0.17,13.53,1.68,82.5,705,560,210,350,TDH,black,41.3,45178,12.5,3.3,33000
9446877,Squash,40754,25-Jul-94,5.25,G,4,Yh,1.7,24,5.94,78.4,580,0.75,41.02,0.38,12.3,,0.52,14.56,0.01,0.05,0.78,0.89,2.67,53.4,29,12,2.7,1.29,23.44,2.08,4.45,0.37,15.91,0.43,10.75,3.03,0.16,13.37,1.61,79.1,773,510,300,210,TDH,black,41.3,45178,12.5,3.3,33000
9446938,Squash,40754,23-Aug-94,5.1,G,4,Yh,2.8,27,6.21,60.2,520,0.67,36.78,0.47,2.32,,0.57,15.96,0.01,0.05,0.85,1.03,3.09,61.8,33.4,,5.8,1.44,38.24,2.18,4.67,0.39,16.77,0.46,11.5,3.72,0.16,13.04,0.44,21.49,709,560,260,300,TDH,black,41.3,45178,12.5,3.3,33000
9546817,Squash,40754,13-Jun-95,4.6,G,4,Yh,3.05,20,4.85,-26.4,180,0.23,12.73,,5.77,,0.55,15.26,0.1,0.44,7.09,1.13,3.39,67.74,17.5,17.4,4.4,0.92,5.42,1.64,3.51,0.44,18.92,0.46,11.5,0.45,0.16,13.12,0.47,23.2,441,180,40,140,TDH,black,41.3,45178,12.5,3.3,33000
9546921,Squash,40754,15-Aug-95,4.7,G,4,Yh,2.75,19.5,4.62,-44.7,5,0.01,0.35,2.3,7.44,,0.49,13.64,0.08,0.35,5.53,1.09,3.27,65.48,15.3,7.14,6.4,2.68,3.55,0.8,1.71,0.42,18.06,0.39,9.75,0.65,0.16,13.12,0.53,26.02,439,220,150,70,TDH,black,41.3,45178,12.5,3.3,33000
9546956,Squash,40754,6-Sep-95,5,G,4,Yh,3.5,19,4.46,-30.1,11,0.01,0.78,3.26,5.59,,0.37,10.39,0.01,0.05,0.78,1.04,3.12,62.42,14.5,7.85,3.34,0.42,2.33,0.1,0.21,0.41,17.63,0.23,5.75,0.43,0.15,12.3,0.71,34.9,318,170,80,90,TDH,black,41.3,45178,12.5,3.3,33000
9646706,Squash,40754,18-Jun-96,5.8,G,4,Yh,1.9,16.7,5.62,45.6,278,0.36,19.66,2.38,13.92,,0.75,21.11,0.02,0.08,1.35,1.12,3.37,67.44,21.93,7.82,8.04,1.1,5.33,0.36,0.77,0.49,21.07,0.47,11.75,2.73,0.17,13.94,1.09,53.47,727,540,280,260,TDH,black,41.3,45178,12.5,3.3,33000
9646790,Squash,40754,18-Jul-96,5,G,4,Yh,2.3,21.8,6.46,108,447,0.57,31.62,1.2,12.44,,0.56,15.68,0.01,0.02,0.35,0.53,1.59,31.8,30.16,11.71,8.06,2.35,3.93,0.27,0.58,0.51,21.93,0.47,11.75,3.93,0.16,13.12,1.52,74.63,852,580,360,220,TDH,black,41.3,45178,12.5,3.3,33000
9646861,Squash,40754,15-Aug-96,5,G,4,Yh,,20.8,6.31,66.2,568,0.73,40.17,1.26,9.69,,0.9,25.23,0.02,0.07,1.06,0.75,2.24,44.76,35.6,14.12,13.44,2.36,41.3,2.55,5.46,0.5,21.5,0.49,12.25,4.54,0.17,13.94,1.64,80.41,931,450,240,210,TDH,black,41.3,45178,12.5,3.3,33000
9746823,Squash,40754,8-Jul-97,4.9,G,4,Yh,1.9,20.1,5.91,17.94,370,0.48,26.17,5.46,14.46,0.03,0.39,10.92,0.02,0.09,1.42,0.74,2.22,44.4,27.1,11.26,7.2,4.65,40.68,1.95,4.17,0.4,17.2,0.38,9.5,2.66,0.14,11.48,1.11,54.45,776,560,310,250,TDH,black,41.3,45178,12.5,3.3,33000
9746896,Squash,40754,12-Aug-97,4.5,G,4,Yh,1.5,20.4,4.67,-5.14,30,0.04,2.12,4.69,11.3,0.03,0.3,8.4,0.01,0.04,0.71,0.8,2.4,48,16.1,5.6,2.6,0.53,42.6,1.29,2.76,0.44,18.92,0.44,11,1.04,0.16,12.96,0.86,42.08,503,400,270,130,TDH,black,41.3,45178,12.5,3.3,33000
9846606,Squash,40754,8-Jul-98,4.8,G,4,Yh,1.5,15.8,6.46,71.66,494.9,0.64,35,9.48,21.29,0.03,0.59,16.52,0.09,0.4,6.38,0.9,2.7,54,41.02,14.8,11.9,2.42,104.86,2.43,5.2,0.46,19.82,0.44,10.95,3.9,0.2,16.24,1.6,78.61,,322.67,288.73,33.94,TDH,black,41.3,45178,12.5,3.3,33000
9846678,Squash,40754,11-Aug-98,4.8,G,4,Yh,1.75,20.8,6.74,112.6,987.6,1.27,69.85,9.3,21.14,0.01,0.2,5.6,0.01,0.02,0.35,0.45,1.35,27,47.43,13.71,11.36,2.83,67.49,2.37,5.08,0.46,19.69,0.43,10.85,5.16,0.2,16.48,1.98,97.14,,213.24,191.68,21.56,TDH,black,41.3,45178,12.5,3.3,33000
9946106,Squash,40754,8-Jul-99,4.5,G,4,Yh,1.5,23,5.73,57,616.82,0.79,43.63,8.43,13.7,0.01,0.31,8.68,0.01,0.04,0.71,0.81,2.43,48.6,32.25,10.31,4.49,2.2,3.24,2.08,4.45,0.6,25.84,0.55,13.85,3.85,0.18,14.68,1.63,79.63,,210.25,143.55,66.7,TDH,black,41.3,45178,12.5,3.3,33000
9946178,Squash,40754,17-Aug-99,4.7,G,4,Yh,2.1,20.6,6.39,63.02,676.75,0.87,47.87,,13.01,0.02,0.45,12.6,0.01,0.02,0.35,0.84,2.52,50.4,49.62,15.89,13.06,3.41,24.9,2.18,4.67,0.05,2.15,0.41,10.33,4.06,0.18,14.35,1.44,70.76,,207.93,179.77,28.16,TDH,black,41.3,45178,12.5,3.3,33000
10046506,Squash,40754,12-Jul-00,5.1,G,4,Yh,2.75,20.2,5.68,28.27,236.4,0.3,16.72,8.1,10.11,0.02,0.57,16.02,0.01,0.02,0.35,0.64,1.91,38.1,33.98,12.61,11.48,2.01,84.47,1.88,4.02,0.49,20.86,0.4,10.05,1.74,0.16,13.37,1.29,63.16,669.99,197.24,161.92,35.32,TDH,black,41.3,45178,12.5,3.3,33000
10046579,Squash,40754,15-Aug-00,4.5,G,3.5,Yh,1.9,17,4.71,-12.23,66.05,0.08,4.67,5.8,9.26,0.03,0.69,19.24,0.01,0.02,0.35,0.88,2.63,52.56,32.28,19.04,5.61,1.31,79.08,1.33,2.85,0.38,16.21,0.38,9.6,2.5,0.15,11.97,0.64,31.31,495.14,223.51,132.17,91.34,TDH,black,41.3,45178,12.5,3.3,33000
10146007,Squash,40754,10-Jul-01,4.75,G,4,Yh,1.9,24.1,6.57,109.07,653.76,0.84,46.24,,12.77,0.02,0.36,10.05,0.01,0.02,0.35,0.52,1.55,31.02,30.63,13.36,10.06,2.33,159.91,1.91,4.08,0.48,20.51,0.46,11.5,3.49,0.15,12.22,1.28,62.77,782.51,249.22,29,220.22,TDH,black,41.3,45178,12.5,3.3,33000
10146087,Squash,40754,6-Sep-01,4.7,G,4,Yh,2.5,18.5,6.63,87.99,326.13,0.42,23.07,7.09,10.97,0.02,0.22,6.02,0.01,0.02,0.35,0.6,1.81,36.24,42.99,21.5,5.8,2.34,10.37,1.57,3.36,0.4,16.99,0.35,8.73,4.1,0.15,12.46,1.2,58.8,810.04,296.12,30.02,266.1,TDH,black,41.3,45178,12.5,3.3,33000
10246008,Squash,40754,12-Sep-02,5,G,4,Yh,2.5,16,5.71,16.2,444.14,0.57,31.41,9.33,12,0.02,0.73,20.3,0.02,0.08,1.28,0.69,2.07,41.46,69.21,19.9,7.92,2.46,36.8,1.93,4.13,0.43,18.45,0.42,10.55,4.58,0.15,12.3,1.23,60.47,924.45,230.8,175.18,55.62,TDH,black,41.3,45178,12.5,3.3,33000
10246094,Squash,40754,18-Sep-02,4.5,G,3.5,Yh,2.5,17,4.66,-14.24,16.24,0.02,1.15,3.01,4.26,0.03,0.29,7.98,0.01,0.02,0.35,1.07,3.22,64.44,10.27,4.73,1.41,0.52,2.4,0.8,1.71,0.42,18.23,0.25,6.13,0.49,0.14,11.56,0.63,30.97,406.1,188.96,69,119.96,TDH,black,41.3,45178,12.5,3.3,33000
10346007,Squash,40754,10-Jul-03,5,G,4,Yh,2,19.4,5.54,28.03,564.07,0.73,39.9,6.62,5.15,0.01,0.44,12.43,0.01,0.06,0.89,0.93,2.8,56.04,36.4,13.73,2.57,1.42,137.65,1.87,4,0.45,19.52,0.43,10.75,4.69,0.16,13.45,1.16,56.84,1052.35,245.27,189.11,56.17,TDH,black,41.3,45178,12.5,3.3,33000
10346094,Squash,40754,7-Aug-03,4.2,G,3,Yh,2.2,16.1,4.99,-2.36,204.66,0.26,14.48,4.94,4.96,0.04,0.4,11.09,0.03,0.12,1.98,0.94,2.83,56.58,12.07,2.74,1.15,0.76,3.93,1.07,2.29,0.38,16.25,0.38,9.45,0.8,0.15,12.3,0.72,35.33,440.1,206.14,98.23,107.91,TDH,black,41.3,45178,12.5,3.3,33000
10446007,Squash,40754,21-Jul-04,4.7,G,3.5,Yh,1.7,17.4,5.38,19.62,347.9,0.45,24.61,7.39,8.37,0.01,0.33,9.1,0.01,0.06,0.89,0.95,2.86,57.24,22.61,9.81,2.41,1.44,62.65,1.86,3.98,0.51,22.1,0.38,9.58,4.87,0.19,15.66,1.1,54.05,788.51,183.27,136.24,47.03,TDH,black,41.3,45178,12.5,3.3,33000
10446093,Squash,40754,4-Aug-04,4.7,G,4,Yh,1.9,22.1,6.63,93.09,830.8,1.07,58.76,8.37,10.72,0.01,0.32,8.82,0.01,0.06,0.89,0.77,2.3,46.08,37.92,12.4,8.1,2.34,96.32,2.22,4.75,0.42,18.23,0.4,10,3.71,0.2,16.65,1.12,54.68,923.29,184.19,142.63,41.55,TDH,black,41.3,45178,12.5,3.3,33000
10546007,Squash,40754,13-Jul-05,5.3,G,4,Yh,1.5,23.3,6.31,67.31,616,0.79,43.57,8.52,11.11,0.03,0.85,23.72,0.01,0.06,0.89,0.61,1.82,36.42,45.15,15.67,9.14,2.49,135.91,1.76,3.77,0.49,20.86,0.44,10.95,4.84,0.17,14.19,1.26,61.94,1131.04,215.49,184.65,30.84,TDH,black,41.3,45178,12.5,3.3,33000
10546093,Squash,40754,10-Aug-05,4.7,G,4,Yh,1.6,26.1,6.5,87.81,802,1.03,56.73,9.57,15.74,0.04,0.48,13.52,0.01,0.06,0.89,0.6,1.79,35.88,53.57,43.2,11.71,2.81,96.01,2.61,5.59,0.86,36.85,,,5.6,0.18,14.43,1.39,67.91,1195.61,226.85,196.38,30.46,TDH,black,41.3,45178,12.5,3.3,33000
10646008,Squash,40754,14-Jul-06,5,G,4,Yh,1.7,21.5,5.75,32.38,449,0.58,31.76,8.33,10.37,0.01,0.53,14.73,0.01,0.06,0.89,0.79,2.36,47.1,34.66,15.15,3.65,2.09,52.99,2.14,4.58,0.5,21.67,0.41,10.15,5.62,0.15,12.22,1.08,52.68,1121.92,203.08,160.39,42.69,TDH,black,41.3,45178,12.5,3.3,33000
10646093,Squash,40754,11-Aug-06,4.8,G,4,Yh,1.6,17.3,5.76,32.47,677,0.87,47.88,9.09,8.05,0.01,0.4,11.23,0.01,0.06,0.89,0.76,2.29,45.72,33.68,14.87,3.65,2.08,96.01,1.93,4.13,0.45,19.35,0.36,8.88,5.08,0.14,11.81,1.21,59.19,1162.37,208.34,157.91,50.43,TDH,black,41.3,45178,12.5,3.3,33000
9446820,Squaw,40850,28-Jun-94,5.8,I,5,N,5.35,22,5.86,6.15,25,0.03,1.77,2.23,2.22,,0.36,10.08,0.26,1.14,18.28,1.52,4.56,91.2,3.9,1.2,2.7,0.4,2.39,0.53,1.13,0.36,15.48,0.23,5.75,0.05,0.41,33.7,2.44,119.41,76,28,11,17,TDL,black,177.4,1249291,4.9,36.4,364000
9446907,Squaw,40850,2-Aug-94,6,I,5,N,2.3,20,5.85,15.2,25,0.03,1.77,,3.06,,0.43,12.04,0.12,0.53,8.5,1.59,4.77,95.4,5.1,2.4,1.9,0.4,3.91,0.32,0.68,0.37,15.91,0.21,5.25,0.11,0.41,33.62,2.18,106.94,44,9,6,3,TDL,black,177.4,1249291,4.9,36.4,364000
9446996,Squaw,40850,31-Aug-94,5.9,I,5,N,3.6,23,5.91,51.7,5,0.01,0.35,0.41,2.63,,0.46,12.88,0.11,0.47,7.58,1.68,5.04,100.8,,4.5,,0.29,3.47,0.15,0.32,0.36,15.48,0.22,5.5,0.05,0.42,34.69,2.54,124.35,30,6,6,0,TDL,black,177.4,1249291,4.9,36.4,364000
9546857,Squaw,40850,20-Jun-95,5.9,I,5,N,,19,6,7.3,40,0.05,2.83,0.71,2.32,,0.55,15.51,0.23,1.01,16.09,1.88,5.64,112.8,11.1,3,2.5,0.64,0.99,0.41,0.88,0.5,21.5,0.31,7.75,0.05,0.46,37.72,1.94,94.97,61,8,0,8,TDL,black,177.4,1249291,4.9,36.4,364000
9546890,Squaw,40850,8-Aug-95,6,I,5,N,3.5,18,6.02,9.1,30,0.04,2.12,0.7,,,0.38,10.75,0.07,0.32,5.17,1.3,3.89,77.72,,4.71,3,0.4,4.1,0.05,0.11,0.44,18.92,0.23,5.75,0.05,0.46,37.72,2.01,98.25,37,13,0,13,TDL,black,177.4,1249291,4.9,36.4,364000
9546984,Squaw,40850,14-Sep-95,5.2,I,4,N,2.4,16,6.13,14.7,5,0.01,0.35,0.72,2.59,,0.42,11.76,0.02,0.1,1.63,1.35,4.04,80.82,7.86,4.11,2.58,,5.3,0.05,0.11,0.47,20.21,0.26,6.5,0.05,0.44,36.08,1.82,89.05,68,7,2,5,TDL,black,177.4,1249291,4.9,36.4,364000
9646764,Squaw,40850,26-Jun-96,6.5,I,3,Ye,4,16.7,5.76,2.2,10,0.01,0.71,0.79,7.41,,0.4,11.2,0.16,0.71,11.34,1.18,3.54,70.8,6.73,2.56,2.32,1.19,6.48,1.6,3.42,0.4,17.2,0.2,5,0.05,0.39,31.98,1.85,90.76,98,38,19,19,TDL,black,177.4,1249291,4.9,36.4,364000
9646833,Squaw,40850,23-Jul-96,6.5,I,4,Ye,4.8,15.7,6.04,10.1,22,0.03,1.56,0.48,3.76,,0.3,8.4,0.14,0.62,9.99,1.51,4.53,90.6,3.2,2.08,2.84,0.34,0.71,0.9,1.93,0.4,17.2,0.2,5,0.05,0.41,33.62,1.83,89.8,63,20,20,0,TDL,black,177.4,1249291,4.9,36.4,364000
